"Target_PosX";"Mouse_PosX";"Mouse_PosY";"Gender(m/w)";"Target_distance";"Age";"UserID";"Trial";"Target_PosY";"Target_width";"Click_PosY";"Time(ms)";"Click_PosX";"Timestamp(ISO)"
"85";"0";"625";"m";"170";"56";"4";"19";"540";"170";"614";"675";"219";"2014-04-27 12:12:00"
"420";"0";"570";"m";"450";"56";"4";"20";"540";"60";"563";"667";"467";"2014-04-27 12:12:01"
"85";"0";"625";"m";"170";"56";"4";"21";"540";"170";"629";"585";"130";"2014-04-27 12:12:02"
"215";"0";"625";"m";"300";"56";"4";"22";"540";"170";"611";"721";"267";"2014-04-27 12:12:03"
"215";"0";"625";"m";"300";"56";"4";"23";"540";"170";"636";"824";"288";"2014-04-27 12:12:04"
"140";"0";"570";"m";"170";"56";"4";"24";"540";"60";"558";"1169";"163";"2014-04-27 12:12:05"
"615";"0";"625";"m";"700";"56";"4";"25";"540";"170";"596";"1479";"648";"2014-04-27 12:12:07"
"400";"0";"590";"m";"450";"56";"4";"26";"540";"100";"572";"1343";"425";"2014-04-27 12:12:09"
"670";"0";"570";"m";"700";"56";"4";"27";"540";"60";"554";"2348";"697";"2014-04-27 12:12:12"
"250";"0";"590";"m";"300";"56";"4";"28";"540";"100";"594";"1768";"311";"2014-04-27 12:12:14"
"365";"0";"625";"m";"450";"56";"4";"29";"540";"170";"613";"1302";"466";"2014-04-27 12:12:15"
"140";"0";"570";"m";"170";"56";"4";"30";"540";"60";"568";"959";"170";"2014-04-27 12:12:16"
"650";"0";"590";"m";"700";"56";"4";"31";"540";"100";"575";"654";"716";"2014-04-27 12:12:17"
"270";"0";"570";"m";"300";"56";"4";"32";"540";"60";"548";"1325";"284";"2014-04-27 12:12:18"
"120";"0";"590";"m";"170";"56";"4";"33";"540";"100";"578";"619";"155";"2014-04-27 12:12:19"
"615";"0";"625";"m";"700";"56";"4";"34";"540";"170";"612";"873";"750";"2014-04-27 12:12:20"
"152";"0";"557";"m";"170";"56";"4";"35";"540";"35";"559";"767";"164";"2014-04-27 12:12:21"
"650";"0";"590";"m";"700";"56";"4";"36";"540";"100";"570";"1563";"685";"2014-04-27 12:12:23"
"432";"0";"557";"m";"450";"56";"4";"37";"540";"35";"565";"1045";"453";"2014-04-27 12:12:24"
"140";"0";"570";"m";"170";"56";"4";"38";"540";"60";"553";"945";"164";"2014-04-27 12:12:25"
"432";"0";"557";"m";"450";"56";"4";"39";"540";"35";"556";"1120";"459";"2014-04-27 12:12:27"
"270";"0";"570";"m";"300";"56";"4";"40";"540";"60";"570";"1165";"288";"2014-04-27 12:12:28"
"432";"0";"557";"m";"450";"56";"4";"41";"540";"35";"560";"1461";"442";"2014-04-27 12:12:30"
"365";"0";"625";"m";"450";"56";"4";"42";"540";"170";"601";"1193";"431";"2014-04-27 12:12:31"
"615";"0";"625";"m";"700";"56";"4";"43";"540";"170";"594";"1195";"714";"2014-04-27 12:12:32"
"140";"0";"570";"m";"170";"56";"4";"44";"540";"60";"565";"853";"192";"2014-04-27 12:12:34"
"270";"0";"570";"m";"300";"56";"4";"45";"540";"60";"568";"1000";"284";"2014-04-27 12:12:35"
"670";"0";"570";"m";"700";"56";"4";"46";"540";"60";"565";"1301";"693";"2014-04-27 12:12:36"
"365";"0";"625";"m";"450";"56";"4";"47";"540";"170";"637";"1102";"456";"2014-04-27 12:12:38"
"282";"0";"557";"m";"300";"56";"4";"48";"540";"35";"558";"1294";"289";"2014-04-27 12:12:39"
"420";"0";"570";"m";"450";"56";"4";"49";"540";"60";"573";"1315";"447";"2014-04-27 12:12:41"
"215";"0";"625";"m";"300";"56";"4";"50";"540";"170";"607";"947";"310";"2014-04-27 12:12:42"
"682";"0";"557";"m";"700";"56";"4";"51";"540";"35";"557";"1225";"709";"2014-04-27 12:12:43"
"670";"0";"570";"m";"700";"56";"4";"52";"540";"60";"564";"907";"695";"2014-04-27 12:12:44"
"682";"0";"557";"m";"700";"56";"4";"53";"540";"35";"551";"1201";"699";"2014-04-27 12:12:46"
"650";"0";"590";"m";"700";"56";"4";"54";"540";"100";"577";"1108";"722";"2014-04-27 12:12:47"
"615";"0";"625";"m";"700";"56";"4";"55";"540";"170";"631";"488";"753";"2014-04-27 12:12:48"
"120";"0";"590";"m";"170";"56";"4";"56";"540";"100";"576";"1193";"183";"2014-04-27 12:12:50"
"152";"0";"557";"m";"170";"56";"4";"57";"540";"35";"557";"907";"168";"2014-04-27 12:12:51"
"432";"0";"557";"m";"450";"56";"4";"58";"540";"35";"557";"1041";"455";"2014-04-27 12:12:52"
"420";"0";"570";"m";"450";"56";"4";"59";"540";"60";"572";"779";"445";"2014-04-27 12:12:53"
"270";"0";"570";"m";"300";"56";"4";"60";"540";"60";"566";"1214";"302";"2014-04-27 12:12:54"
"152";"0";"557";"m";"170";"56";"4";"61";"540";"35";"545";"956";"174";"2014-04-27 12:12:55"
"282";"0";"557";"m";"300";"56";"4";"62";"540";"35";"556";"1205";"298";"2014-04-27 12:12:57"
"120";"0";"590";"m";"170";"56";"4";"63";"540";"100";"588";"984";"159";"2014-04-27 12:12:58"
"215";"0";"625";"m";"300";"56";"4";"64";"540";"170";"620";"980";"262";"2014-04-27 12:12:59"
