"Target_PosX";"Mouse_PosX";"Mouse_PosY";"Gender(m/w)";"Target_distance";"Age";"UserID";"Trial";"Target_PosY";"Target_width";"Click_PosY";"Time(ms)";"Click_PosX";"Timestamp(ISO)"
"420";"0";"570";"w";"450";"55";"1";"43";"540";"60";"578";"1660";"455";"2014-04-27 12:14:27"
"250";"0";"590";"w";"300";"55";"1";"44";"540";"100";"591";"547";"271";"2014-04-27 12:14:27"
"140";"0";"570";"w";"170";"55";"1";"45";"540";"60";"554";"639";"156";"2014-04-27 12:14:28"
"615";"0";"625";"w";"700";"55";"1";"46";"540";"170";"636";"858";"699";"2014-04-27 12:14:29"
"250";"0";"590";"w";"300";"55";"1";"47";"540";"100";"593";"756";"277";"2014-04-27 12:14:31"
"682";"0";"557";"w";"700";"55";"1";"48";"540";"35";"553";"1097";"716";"2014-04-27 12:14:32"
"650";"0";"590";"w";"700";"55";"1";"49";"540";"100";"591";"1265";"689";"2014-04-27 12:14:33"
"215";"0";"625";"w";"300";"55";"1";"50";"540";"170";"626";"880";"283";"2014-04-27 12:14:35"
"365";"0";"625";"w";"450";"55";"1";"51";"540";"170";"667";"876";"483";"2014-04-27 12:14:36"
"615";"0";"625";"w";"700";"55";"1";"52";"540";"170";"621";"961";"638";"2014-04-27 12:14:37"
"650";"0";"590";"w";"700";"55";"1";"53";"540";"100";"598";"1174";"736";"2014-04-27 12:14:39"
"250";"0";"590";"w";"300";"55";"1";"54";"540";"100";"587";"788";"300";"2014-04-27 12:14:40"
"400";"0";"590";"w";"450";"55";"1";"55";"540";"100";"556";"1235";"493";"2014-04-27 12:14:41"
"215";"0";"625";"w";"300";"55";"1";"56";"540";"170";"592";"1244";"326";"2014-04-27 12:14:43"
"120";"0";"590";"w";"170";"55";"1";"57";"540";"100";"574";"1454";"204";"2014-04-27 12:14:45"
"650";"0";"590";"w";"700";"55";"1";"58";"540";"100";"582";"717";"666";"2014-04-27 12:14:46"
"670";"0";"570";"w";"700";"55";"1";"59";"540";"60";"582";"911";"699";"2014-04-27 12:14:47"
"650";"0";"590";"w";"700";"55";"1";"60";"540";"100";"592";"802";"735";"2014-04-27 12:14:48"
"682";"0";"557";"w";"700";"55";"1";"61";"540";"35";"556";"1490";"699";"2014-04-27 12:14:50"
"270";"0";"570";"w";"300";"55";"1";"62";"540";"60";"573";"1651";"296";"2014-04-27 12:14:52"
"85";"0";"625";"w";"170";"55";"1";"63";"540";"170";"610";"605";"197";"2014-04-27 12:14:53"
"682";"0";"557";"w";"700";"55";"1";"64";"540";"35";"555";"1378";"705";"2014-04-27 12:14:54"
